abv,barcode,beer,brewer,description,location,name,sku,style
10.20%,,Ovila Belgian-Style Abbey Quad,Sierra Nevada,Quad brewed with plums,"Chico, CA",,,Quadrupel
6.50%,,Single Hop Idaho 7,Sierra Nevada,"Aromas of orange, apricot with hints of black tea-like character","Chico, CA",,,IPA
9.60%,100000015995,Bigfoot,Sierra Nevada Brewing Company,"Dense, fruity bouquet; an extremely rich, intense, bittersweet palate","Chico, CA",Sierra Barrel-Aged Bigfoot,605923,Barleywine
6.00%,,Sierra Nevada Oktoberfest,Sierra Nevada Brewing Company,Collaboration with Brauhaus Riegele in Augsburg,"Chico, CA",,,Märzen
9.00%,,Limoncello,Siren / Hill Farmestead / Mikkeller,Double IPA with lemon zest and hopped with Sorachi Ace and Citra,England,,,Double IPA
8.00%,,Hibernal Vinifera Stout,Ska Brewing,Oak-Aged Stout fermented with Malbec Grapes,"Durango, CO",,,Stout
6.00%,608782676224,Coffee Porter,Smog City Brewing,Gold Medal Winner - 2012 GABF - robust porter aged on ground coffee,Los Angeles,Haandbryggeriet Coffee Porter,478674,Coffee Porter
4.80%,,Extra 4,St. Bernardus Brouwerij,Classic Belgian esters with strong floral and an underlying citrus notes,Belgium,,,Belgian “Single” style
4.80%,602573050798,Gose Gone Wild Phuket,Stillwater Artisanal,"Sour wheat ale with mango, lemongrass, thai chilis and sea salt",Maryland,Stillwater Gose Gone Wild Phuket,2667565,Gose
13.00%,13964947977,On Fleek,Stillwater Artisanal / Casita Cerveceria,"Extremely thick, midnight black, notes of molasses, dark fruits, roast and chocolate",Maryland,Stillwater On Fleek,2446920,Imperial Stout
6.60%,91037526397,Cellar Door,Stillwater Artisanal Ales,"Wafts of tangerine, grass, wheat, herbs, pepper and a light yeasty presence",Maryland,Stillwater Cellar Door,477768,Saison with white sage
5.20%,670822247503,Mono,Stillwater Artisanal Ales,"Bright tangerine, grapefruit, and fresh grass aromas",Maryland,Cisco Monomy Kriek,477861,Pilsner
7.70%,,Rio Sauvin,Stillwater Artisanal Ales,Brewed with mango and passion fruit juice,Maryland,,,Saison
7.00%,100000016541,Stereo,Stillwater Artisanal Ales," Bright citrus, stone fruit, pine, earth, dank, and crisp",Maryland,Stillwater Artisanal Ales Stereo IPA,705855,IPA
4.30%,602573050705,Gose Gone Wild,Stillwater Artisinal Ales,German-style sour wheat ale brewed in collaboration w/ Westbrook.  Heavy doses of Citra and Amarillo hops and various strains of Brettanomyces,Maryland,Stillwater Gose Gone Wild 12oz,100000124703,Gose
4.80%,602573050729,Gose Gone WIld Tijuana,Stillwater Artisinal Ales,"Brett fermented gose brewed with blackberries, smoked agave, lime, & Mayan Sea Salt",Maryland,Stillwater Gose Gone Wild Tijuana,100000101285,Gose
10.80%,737534449103,IRS,Stone,"Massive and intensely aromatic w/ notes of chocolate, coffee, black currants, anise and roastiness",Escondido,Bottle Logic She Shot First,625890,Russian Imperial Stout
9.50%,,24 Carrot Golden Ale,Stone / Monkey Paw / Julie Goldenberg,"Carrot cake-inspired Belgian Ale w/ carrots, cinnamon, raisins and vanilla bean",Escondido,,,Dessert Beer
9.20%,,12th Anniversary Bitter Chocolate Oatmeal Stout,Stone Brewing Co,Big oatmeal notes and bitter unsweetened chocolate,Escondido,,,Imperial Stout
9.60%,,Barrel-Aged Milk Chocolate Porter,Stone Brewing Co,"Brewed with lactose & chocolate and aged in Bourbon, Reposado Tequila, & red wine barrels","Escondido, CA",,,Imperial Porter
9.40%,,Enjoy By 10.31.15,Stone Brewing Co,"Intense hoppiness, resin, peaches, and hints of tropical fruit",Escondido,,,Double IPA
10.60%,,Foudre-Aged Imperial Saison,Stone Brewing Co,An ale brewed with spices and aged in red wine barrels,"Escondido, CA",,,Saison
5.70%,636251741357,Ripper,Stone Brewing Co,Easy drinking but pack with Cascade and Austrailian Galaxy hops,"Escodido, CA",Stone Ripper 6pk,,Pale Ale
9.40%,,Unfiltered Enjoy By ,Stone Brewing Co,"Intense hoppiness, resin, peaches & hints of tropical fruit","Escondido, CA",,,DOuble IPA
9.40%,,Unfiltered Enjoy By 2.14.16,Stone Brewing Co,"Intense hoppiness, resin, peaches, and hints of tropical fruit",Escondido,,,Double IPA
8.70%,100000016619,19th Anniversary Thunderstruck,Stone Brewing Co.,"Hoppy with exotic tropical fruit, peaches, citrus and pineapple characteristics",Escondido,Stone 19th Anniversary Thunderstruck IPA btl,1144979,DIPA
8.10%,,Barrel aged Brown Ale w/ Balaton Sour Cherries,Stone Brewing Co., Layers of red wine and dark cherry flavors,Escondido,,,Sour Brown
5.00%,,Buoy 1 SD Pale Ale,Stone Brewing Co.,"Bready, drank, and grassy with some pleasant fruity notes",Escondido,,,Pale Ale
9.40%,636251908354,Enjoy By,Stone Brewing Co.,Devastatingly dank IPA brewed with more than 12 different hop varietals,San Dego,Stone Enjoy By 12 oz,835865,DIPA
9.40%,,Enjoy By Tangerine IPA,Stone Brewing Co.,Pureed tangerines were added to create a devastatingly fresh IPA with a tang of tangerine,Escondido,,,Double IPA
8.50%,,Just Because IPA,Stone Brewing Co.,"Intense dank hop, tropical fruit, peaches, and slightly woody.",Escondido,,,DIPA
8.90%,,Stone Pilot Series: Mocha IPA,Stone Brewing Co.,Hops combine beautifully w/ the cocoa & coffee elements of a mocha ,Escondido,,,Double IPA
8.60%,,Vertical Epic 08.08.08,Stone Brewing Co.,"Nuances of pepper, clove, and banana from the Belgian yeast strain, and citrus",Escondido,,,Aged Belgian IPA
13.50%,636251870385,W00tstout,Stone Brewing Co.,Blended with last year's vintage that has been aging in Kentucky Bourbon barrels with rye and pecans added,Escondido,Stone w00tstout,481095,Imperial Stout
8.10%,7503019990186,Xocoveza,Stone Brewing Co.,"Cocoa, coffee, vanilla, cinnamon, and pepper",San Diego,Insurgente Xocoveza 22oz,2167249,Stout
8.90%,95301130525,XS,Stone Brewing Co.,Aged in Rye Whiskey Barrels and Gin Infused Bourbon Barrels.,Escondido,Rogue XS,481511,Double IPA
7.90%,,Bourbon Barrel-Aged Arrogant Bastard,Stone Brewing Company,"Notes of malt, oak and vanilla",Escondido,,,American Strong Ale
10.60%,,Chai-Spiced Imperial Russian Stout,Stone Brewing Company,"IRS with cinnamon, cardamom, clove, ginger, a dash of black pepper and a dose of black tea to emulate the aroma and taste of authentic chai tea",Escondido,,,Imperial Stout with spices
9.40%,,Enjoy By 11.27.15 Black IPA,Stone Brewing Company	,"Intense hoppiness, dank resin with roasty notes. Very good!",Escondido,,,Black Double IPA
8.10%,7503019990186,Xocoveza,Stone/Insurgente/Chris Banker,"A delicious take on Mexican Hot Chocolate brewed w/ cocoa, coffee, Pasilla peppers, vanilla, cinnamon, and nutmeg","San Diego, CA",Insurgente Xocoveza 22oz,2167249,Imperial Stout
7.00%,,3 Best Friends,Sudwerk Brewing Co.,Roasted coffee mixed with sweet cacao nibs and hints of vanilla bean,"Davis, CA",,,Black Lager
6.50%,,Basil Saison,Sudwerk Brewing Co.,Greenbelt Brewers Association PRO/AM winning Basil Saison,"Davis, CA",,,Saison
4.50%,,Bavarian Wheat,Sudwerk Brewing Co.,"Spicy, slightly fruity, dry and refreshing","Davis, CA",,,Hefeweizen
5.00%,743834000104,California Dry Hop Lager,Sudwerk Brewing Co.,Piney citrus hop aromas mixed w/ the crisp refreshment of a Helles lager,"Davis, CA",Sudwerk California Dry Hop Lager,477958,Lager
6.60%,743834000715,Cascaderade,Sudwerk Brewing Co.,"Carefully dry-hopped with the finest Cascade hops from Yakima Valley, creating a citrusy, piney and refreshing West Coast taste","Davis, CA",Sudwerk Cascaderade,476219,India Pale Lager
7.50%,,Cherry Diddly,Sudwerk Brewing Co.,Tart cherry nose with hints of temprenillo and oak finish,"Davis, CA",,,Flanders Red with Cherries
5.70%,,MÄRZEN AMBER LAGER,Sudwerk Brewing Co.,"Choice hops and five different specialty malts are combined to produce this rich, amber and copper-toned lager.  A full robust character with a smooth, zen-like finish.","Davis, CA",,,Oktoberfest/Märzen
8.00%,,Raskolnikov,Svaneke / Hill Farmstead / Beer Here,Baltic Porter with honey and smoked malt,Denmark,,,Baltic Porter
6.70%,853848005368,Evolution of the Barrel,Tahoe Mountain Brewing,"A blend of one, two, and three year old sour golden ale fermented and aged in oak barrels with respect to Belgian lambic tradition.","Truckee, CA",Tahoe Mountain Evolution of the Barrel,2524175,Sour Golden Ale
5.00%,812210001063,Reserve Wheat,Telegraph Brewing Company,"Brewed with lemon verbena, lactobacillus and brett. ",Santa Barbara,Telegraph Reserve Wheat,476243,Berliner Weisse
4.50%,100000006474,White Ale,Telegraph Brewing Company,"Brewed with coriander, orange peel, and locally grown chamomile flowers",Santa Barbara,Bells Winter White Ale,477945,Witbier
11.00%,,7 Swans-A-Swimming,The Bruery,"Notes of raisin bread, dried apricots, burnt caramel and roasted pecans","Placentia, CA",,,Quadrupel
7.70%,705105537351,Arrrggghhh!,The Bruery,"Imperial Pilsner brewed w/ rice & coconut, dry hopped w/ Saaz, Sterling & Sorachi Ace","Placentia, CA",Bruery ARRRGGGHHH!,1503669,Imp. Pilsner with coconut
10.00%,718122104130,Autumn Maple,The Bruery,"Brewed w/ yams, cinnamon, nutmeg, allspice, vanilla, molasses, & maple syrup","Placentia, CA",Bruery Autumn Maple,476152,Belgian-Style Brown
10.80%,,Freckle,The Bruery,Robust imperial stout infused with the essence of an elegant Mexican molé,Placentia,,,American Stout
3.10%,718122104932,Hottenroth,The Bruery,Traditional sour wheat,Placentia,Bruery Hottenroth 750ml,476156,Berliner Weisse
7.20%,,Humulus Lager,The Bruery,"Hoppy notes of hop resin, grapefruit, and citrus ",Placentia,,,India Pale Lager
4.90%,705105538457,Jardinier,The Bruery,"Hoppy, refreshing, and thirst-quenching",Placentia,Bruery Jardinier,607266,Belgian Pale Ale
7.10%,,L’deracola ,The Bruery,Beer version of cola with a hint of lime,Placentia,,,Spiced Brown
13.30%,,Mash & Vanilla,The Bruery,"Their classic oaky, sticky, and sweet bourbon barrel aged barleywine amplified by the addition of vanilla","Placentia, CA",,,Barrel-Aged Barleywine
7.00%,,Or Xata ,The Bruery,"Blonde ale brewed with rice, cinnamon, and vanilla beans",Placentia,,,Blonde
8.10%,,Ride That Pony,The Bruery,Dry Hopped Imperial Brown Ale,Placentia,,,Imperial Brown
5.90%,705105536255,Rueuze,The Bruery,"Notes of hay, barnyard funk, and apricots with balanced acidity.",Placentia,Bruery Rueuze 750ml,476144,Gueuze
11.90%,19962362057,Share This Coffee,The Bruery,The first in a series of charitable beers showcasing unique ingredients.  This stout uses uses coffee from the Philippines and benefits the Free Wheelchair Mission,"Placentia, CA",Bruery Share This Coffee/Mole 750ml,2622008,Imperial Stout
6.60%,705105536057,Tart of Darkness,The Bruery,"Perfectly tart yet awesomely dark and roasty, notes of tart plums, roasted coffee, vanilla and oak","Placentia, CA",Bruery Tart of Darkness 750ml,476143,Sour Stout
7.00%,705105536057,Tart of Darkness,The Bruery,Dark and roasty sour stout,Placentia,Bruery Tart of Darkness 750ml,476143,Sour Stout
12.50%,705105533957,White Oak,The Bruery,"Notes of caramel, vanilla, coconut & oak blended w/ the complexity of wheat","Placentia, CA",Bruery White Oak,476137,Wheatwine
9.50%,100000007075,Atomic Kangarue,The Bruery / Smog City,Blended sour brewed with Semillon and Viognier grapes,Placentia,Bruery Atomic Kangarue,476139,Sour
5.10%,100000007983,Myrtle,The Commons Brewery,"Tart lemon zest, earthy, oaky finish","Portland, Oregon",Commons Myrtle,558537,Sour Saison
4.30%,,Petit Classique,The Commons Brewery,Table saison with pink peppercorns,"Portland, Oregon",,,Saison
4.20%,,The Commons Gose,The Commons Brewery,"Lightly salted, tart German ale","Portland, Oregon",,,Gose
5.30%,853366005000,Urban Farmhouse,The Commons Brewery,Floral nose and a soft underlying hop bitterness with a crisp finish,"Portland, Oregon",Commons Urban Farmhouse 750ml,481586,Saison
3.90%,100000099483,Orita,The Good Beer Company,"Dry hopped golden sour with salt, lemon and lime",Santa Ana,Jolly Pumpkin Matame Ahorita/Innovator Man 750ml,2091494,Sour
5.00%,,Peach La Blanca,The Good Beer Company,"Aged in oak barrels with peaches. This nose is dominated by peaches with a light funk, it is followed up wit our restrained tartness and finishes clean and dry","Santa Ana, CA",,,Farmhouse Ale
3.90%,,Perfect Flower,The Good Beer Company,"A vibrant pink, hibiscus infused and dry hopped sour. This brew is lemony and dry.  Originally brewed for Brewbies 2016, a portion of each keg sold will be donated to the Keep a Breast Fonudation","Santa Ana, CA",,,Sour Ale
6.00%,,Sunny Cal Delight,The Good Beer Company,"Aged in oak barrels with California grown Nectarines and Apricots. This nose is dominated by stone fruit with a light funk, it is followed up with a restrained tartness and finishes clean and dry.","Santa Ana, CA",,,Farmhouse Ale
8.50%,,Citrus and Piney,The Hop Concept,"Brewed with orange zest. Tangerine and grapefruit notes,crisp spicy finish",San Marcos,,,Double IPA
8.50%,,Dank and Sticky,The Hop Concept,"Aromas of citrus, resinous pine and stonefruit",San Marcos,,,DIPA
8.00%,,Galaxy and Comet,The Hop Concept,Double IPA featuring Galaxy and Comet Hops,San Marcos,,,Double IPA
8.50%,,Lemon and Grassy ,The Hop Concept,"Tangy, floral hops on the nose with aromas of fresh-cut grass and lemon peel",San Marcos,,,DIPA
8.50%,,Tropical and Juicy ,The Hop Concept,"Aromas of floral citrus and mango. Flavors of papaya, pineapple and tangerine",San Marcos,,,DIPA
8.00%,,Hull Melon & Blanc IPA,The Hop Concept Brewing,"Aromas of passion fruit, pineapple & grapefruit w/ floral honeydew melon notes",San Marcos,,,Double IPA
4.00%,857977006166,Edna,The Libertine Brewing Co,A table saison femented & barrel aged in French Oak,"Morro Bay, CA",Libertine Edna,100000098264,Saison
4.50%,857977006012,Pacific Ocean Blue,The Libertine Brewing Co,Uses their local sea water for the salt additions. This tart and slightly salty golden ale gives you a taste of the Central Coast region in a glass.,"Morro Bay, CA",Libertine Pacific Ocean Blue Gose 750ml,1999819,Gose
5.25%,852892003238,Saison,The Libertine Brewing Co,"Crisp, funky, and dry.  Dry hopped with Lemon Drop and Boadicia","Morro Bay, CA",2 Towns Suns Out Peach Saison/Dark Currant,1799018,Saison
5.50%,,Passion of the Table,The Libertine Brewing Company,Passion fruit infused Brett Saison. Crisp and funky,"Morro Bay, CA",,,Saison
5.80%,,Once You Gose,The Libertine Pub,Sour Porter aged on vanilla beans and cacao nibs then blended with sea water,"Morro Bay, CA",,,Chocolate Vanilla Gose
5.50%,100000017357,Wild IPA,The Libertine Pub,"Funky, hoppy, and floral","Morro Bay, CA",The Libertine Wild IPA 750ml,1999795,IPA
12.00%,689926005070,10 Commandments,The Lost Abbey,"Brewed with honey, caramelized raisins, rosemary and orange peels",San Marcos,Lost Abbey 10 Commandments,481159,Belgian Strong Dark Ale
12.50%,,Brandy Angel's Share,The Lost Abbey,"Full-bodied, layered with dark fruit and notes of oak and vanilla",San Marcos,,,American Strong Ale
12.50%,,Brandy Angel's Share,The Lost Abbey,"Full-bodied, layered with dark fruit and notes of oak and vanilla",San Marcos,,,American Strong Ale
7.00%,,Framboise De Amorosa,The Lost Abbey,Raspberry sour. First sip is sweet followed by a long drawn out sour finish,San Marcos,,,American Wild Ale
10.00%,689926005100,Gift of the Magi,The Lost Abbey,"Aromas of dark dried fruits, big malt, spice and dark sugars ",San Marcos,Lost Abbey Gift of the Magi 750ml,481161,Imperial Bière de Garde
11.30%,,Queen Ann's Revenge,The Lost Abbey,Notes of cola and cocoa,San Marcos,,,Old Ale
6.70%,689926005032,Red Barn,The Lost Abbey,"Spiced with Ginger, orange peels, black pepper and Grains of Paradise",San Marcos,Lost Abbey Red Barn,481158,Saison
5.00%,689926005285,Red Poppy,The Lost Abbey,"Vibrant cherries on the nose and palate. Tart, crisp, and refreshing",San Marcos,Lost Abbey Red Poppy Bottle,481167,Sour Red
5.00%,,Road To Helles,The Lost Abbey,Light and dry with hints of honey and hops,San Marcos,,,Munich Helles Lager
12.50%,689926005308,Santo Ron Diego,The Lost Abbey,"Aroma’s of sweet rum, cocoa with hints of vanilla and orange peel",San Marcos,Lost Abbey Santo Ron Diego,665824,Rum Barrel-Aged Strong Ale
6.00%,,Spontaneous Cheer,The Lost Abbey,Spontaneously fermented for 6 months and blended with White Peach Concentrate,San Marcos,,,Wild Ale
13.50%,689926006107,Track 10,The Lost Abbey,Bourbon Barrel aged stout with coffee and cacao nibs,San Marcos,Lost Abbey Track 10 375ml,835328,BA Strong Ale
4.80%,,Witch's Wit,The Lost Abbey,"Wheat spiced with Grapefruit Zest, Orange Peel and Coriander",San Marcos,,,Belgian Style Witbier
6.60%,,Tropic Daze,Thorn Street Brewing,"Juicy tropical fruit flavors with notes of mango, spiced guava, and passion fruit ",San Diego,,,IPA
6.90%,858168005104,Expatriate,Three Weavers,"Bright and laden with notes of tropical fruits. Brewed with two-row barley, a touch of English crystal malt and loaded with new age American hops","Inglewood, CA",Three Weavers Expatriate bottle,1708095,IPA
6.70%,,Return of Sassy,Three Weavers,"Tropical fruit notes of pineapple, mango, and some peach","Inglewood, CA",,,IPA
8.50%,,Knotty,Three Weavers Brewing,"Double IPA Dry-Hopped With Citra, Azacca, Crystal, Chinook, and Simcoe Hops","Inglewood, CA",,,Double IPA
6.40%,,Garden of Eden,To Øl,"IPA brewed with apricot, guava, papaya, passionfruit, and mango",Denmark,,,IPA
7.50%,818534017032,Sur Amarillo,To Øl,Sour-mash Amarillo IPA,Denmark,To Ol Sur Amarillo 12oz,835914,Sour
4.80%,,Cherry-Limeade,Toolbox,A San Diego Style gose brewed with red tart cherries & key lime,"Vista, CA",,,Gose
4.80%,,Cherry-Limeade,Toolbox,A San Diego Style gose brewed with red tart cherries & key lime,"Vista, CA",,,Gose
4.50%,688474552609,Das Froot,Toolbox,A hazy tart wheat ale brewed with apricots and peaches ,"Vista, CA",Toolbox Das Froot 500ml,2584252,Berliner Weisse
4.50%,850351005106,Sangria,Toolbox,A pale purple-tinged San Diego-style weisse ale brewed with Malbec grapes and sweet orange zest,"Vista, CA",Common Cider Company Blackberry/White Peach Sangria 22oz,2629694,Berliner Weisse
5.25%,688474552586,Purple Drink,Toolbox Brewing Company,"Juicy, jammy boysenberries, coupled with a light sourness",Vista,Toolbox Purple Drink,1801627,Wild Ale
7.30%,,Nukin' Futz,Track 7,"This Imperial Peanut Butter Chocolate Cream Porter is bursting with real peanut butter cup flavor.  Brewed with lacose, peanuts, and chocolate.","Sacramento, CA",,,Imperial Porter
11.10%,709326007433,Cockeyed Cooper,Uinta Brewing Company,"Flavors of bourbon with splashes of vanilla, dark chocolate and dried fruit",Utah,Uinta Cockeyed Cooper 22oz,477913,Barleywine
7.30%,709326018033,Hop Nosh,Uinta Brewing Company,"Balanced, strong malt backbone, citrusy nose, with hints of pine and grass",Utah,Uinta Hop Nosh 12oz,477905,IPA
6.25%,754527004040,Oyster Stout,Upright Brewing Co.,A distinctly full-bodied and creamy stout with a touch of brine on the finish,Oregon,New Belgium Trip Oyster Stout,477430,Oyster Stout
6.70%,94922359346,Upright Six,Upright Brewing Co.,"Complex, rustic, spicey rye Saison",Oregon,Upright Six,477775,Rye Saison
5.25%,,Orange Dream,Upright Brewing Company,"Big aromatics of orange, tangerine, ginseng, licorice and rosehips ","Portland, Oregon",,,Belgian Pale Brewed with Herbal Tea
11.50%,,WINE: McCormick Ranch Rosé,Vesper Vineyards,"Refreshing, medium bodied Rosé grown right here in San Diego!",San Diego,,,Rosé of Grenache
5.30%,630279774328,Prima Pils,Victory,Crisp with aromas of malt and grassy hops,Pennsylvania,Prima Pils 6pk CANS,2764952,Pilsner
8.00%,,Anniversary XX,Victory Brewing Company,"Pilsner with fragrant Noble German hops, rich earthiness & light citrus flavors",Pennsylvania,,,Imperial Pilsner
9.00%,630279474013,Hop Ranch,Victory Brewing Company,"Pungent, floral and intense",Pennsylvania,Victory Hop Ranch,835970,Double IPA
6.00%,,Hop Ticket,Victory Brewing Company,"Flavors of summer fruit & light graininess, finishing with a pleasant sweetness",Pennsylvania,,,Dry Hopped Saison
6.50%,630279847312,Vital IPA,Victory Brewing Company,"Light bodied, golden IPA with aromas of pine, tropical fruits, and stone fruits",Pennsylvania,Victory Vital IPA Can,1503426,IPA
6.10%,,Air Drop,Victory/Garage Project,"This beer is loaded with hops, intense aromas of citrus rind, meyer lemon, pine with hints of tropical aromas. The flavor is bold, with a pronounced initial bitterness coupled with the juicy hop flavors that mirror the preceding aromas. There is a subtle malt sweetness, and a distinct Pilsner crispness on the finish.",Pennsylvania,,,Pilsner
7.80%,838134000524,Wanderlust,Wandering Aengus Ciderworks,Semi-dry cider with a rich body and long ginger spice finish,"Salem, Oregon ",Wandering Wanderlust,476547,Cider
5.80%,630279752012,Festbier,Weihenstephaner,"A full rich bodied, hoppy, seasonal lager. Especially brewed for the Festbier season. This beer truly represents the Bavarian way of celebrating. Deep gold color, great mouthfeel and lots of flavor. Prost!",Germany,Victory Festbier 12oz,2094961,Festbier
5.80%,630279752012,Festbier,Weihenstephaner,"A full rich bodied, hoppy, seasonal lager. Especially brewed for the Festbier season. This beer truly represents the Bavarian way of celebrating. Deep gold color, great mouthfeel and lots of flavor. Prost!",Germany,Victory Festbier 12oz,2094961,Festbier
5.40%,,Hefeweissbier,Weihenstephaner,Smells of cloves and impresses consumers with its refreshing banana flavour. It is full bodied and with a smooth yeast taste.,Germany,,,Hefeweizen
5.30%,,Hefeweissbier Dunkel,Weihenstephaner,"This dark wheat beer is impressive with its creamy white foam. A fruity-fresh sweetness and hints of mature bananas harmonize with delicious flavors of roasted malt, sparkling and full-bodied with a light caramel taste on the first sip.",Germany,,,Dunkleweizen
5.30%,,Hefeweissbier Dunkel,Weihenstephaner,"This dark wheat beer is impressive with its creamy white foam. A fruity-fresh sweetness and hints of mature bananas harmonize with delicious flavors of roasted malt, sparkling and full-bodied with a light caramel taste on the first sip.",Germany,,,Dunkleweizen
5.40%,,Kristallweissbier,Weihenstephaner,Crystal-clear wheat beer in which fresh citrus flavor harmonizes very well with spicy banana notes,Germany,,,Kristalweizen
5.40%,,Kristallweissbier,Weihenstephaner,Crystal-clear wheat beer in which fresh citrus flavor harmonizes very well with spicy banana notes,Germany,,,Kristalweizen
7.70%,752245122541,Vitus,Weihenstephaner,"Fruity smell of dried apricots joins aromas of citrus, cloves and hints of banana. Full-bodied and sparkling with an effervescent mouthfeel.",Germany,Weihenstephaner Vitus,478303,Weizenbock
10.00%,700330000274,Courage Imperial Russian Stout,Wells & Young's,"Rich, espresso body with an intriguing fresh smokey, fruity finish",England,Courage Imperial Russian Stout,481671,Imperial Stout
4.70%,819332010157,Barock Dunkel,Weltenburger Kloster,"Malty, toasty, lightly caramelized and fruity. Notes of dark fruit, coffee, chocolate, and caramelized malt",Germany,Weltenburger Kloster Barock Dunkel 500ml,,Munich Dunkel Lager
4.70%,819332010157,Barock Dunkel,Weltenburger Kloster,"Malty, toasty, lightly caramelized and fruity. Notes of dark fruit, coffee, chocolate, and caramelized malt",Germany,Weltenburger Kloster Barock Dunkel 500ml,,Munich Dunkel Lager
7.50%,,WLP001 California Ale Yeast,White Labs,"This house yeast strain for many breweries can be used in most styles, but really shines in American Pale Ale type beers. Clean fermentation with accentuation of hop flavor and bitterness.","San Diego, CA",,,IPA
6.50%,,WLP008 East Coast Ale Yeast,White Labs,East Coast Ale yeast has medium flocculation which leaves a slightly hazy beer. This strain also produces mild fruity esters.,"San Diego, CA",,,IPA
7.50%,,WLP041 Pacific Ale Yeast,White Labs,Pacific Ale Yeast is a clean fermenter that leaves residual malt character and sugar.,"San Diego, CA",,,IPA
8.20%,,WLP515 Antwerp Ale Yeast,White Labs,Phenol producing yeast strain that produces notes of white pepper which create an authentic take on a Belgian IPA,"San Diego, CA",,,IPA
5.90%,,Würzburger Festbier,Würzburger Hofbräu,Deep golden color with light sweet malty buscuit aroma and flavors. Clean finish,Germany,,,Festbier
